"","Colony","Nest","Day","ScaledX","ScaledY","Bin","ScaledDist","Density","Corner"
"95",5,"Tube",10,2.94522391,1.621884735,4,0.410139219757194,"High","Y"
"96",5,"Tube",11,3.033333333,0.871121718,2,0.243506137966462,"High","N"
"97",5,"Tube",11,2.753537736,1.554638365,4,0.383483700646152,"High","Y"
"98",5,"Tube",11,3.213443396,1.676493711,4,0.45651507918534,"High","Y"
"99",5,"Tube",12,2.782352941,1.033333333,3,0.297878778397355,"High","Y"
"100",5,"Tube",12,2.832040698,1.394703488,3,0.351016399152738,"High","Y"
"101",5,"Tube",12,2.833333333,1.554901961,4,0.381111299414855,"High","Y"
"102",5,"Tube",12,2.914728682,1.604005814,4,0.404548522150248,"High","Y"
"103",5,"Tube",13,2.869273302,0.904423381,3,0.275146931720555,"High","Y"
"104",5,"Tube",13,2.968009479,1.682464455,4,0.422242614738546,"High","Y"
"105",6,"Tube",4,2.843701997,0.921658986,3,0.280487761519905,"High","Y"
"106",6,"Tube",5,2.761250953,1.46071701,3,0.365906707109294,"High","Y"
"107",6,"Tube",6,2.748470948,1.21559633,3,0.324145724810925,"High","Y"
"108",6,"Tube",7,2.730811192,1.126543881,3,0.314142580200357,"High","Y"
"109",6,"Tube",8,2.846899225,1.003875969,3,0.283603230323389,"High","Y"
"110",6,"Tube",9,2.869066901,0.827464789,3,0.273450477367122,"High","Y"
"111",6,"Tube",10,2.828758824,1.035294118,3,0.28944549624578,"High","Y"
"112",6,"Tube",11,2.544677545,1.469827117,3,0.385662887490689,"High","Y"
"113",6,"Tube",12,2.769379845,0.980620155,3,0.296594892904271,"High","Y"
"114",6,"Tube",13,2.90316358,0.918209877,3,0.269327420401831,"High","Y"
"115",7,"Tube",4,2.068396262,1.890413806,3,0.333757271924426,"High","Y"
"116",7,"Tube",5,2.443035714,2.964021739,4,0.442793593781618,"High","Y"
"117",7,"Tube",6,2.220319635,2.679476788,4,0.405456579519125,"High","Y"
"118",7,"Tube",7,2.595960227,2.847854167,4,0.443863986354575,"High","Y"
"119",7,"Tube",8,5.423763179,2.907542579,6,0.75247078641933,"High","Y"
"120",7,"Tube",9,2.143410853,1.911498062,3,0.328043166580956,"High","Y"
"121",7,"Tube",10,3.077317588,2.866104071,4,0.493821533685145,"High","Y"
"122",7,"Tube",11,2.406120756,2.85429591,4,0.430019803137426,"High","Y"
"123",7,"Tube",12,2.539222608,2.747555941,4,0.432914388422961,"High","Y"
"124",7,"Tube",13,2.321016166,1.501154734,2,0.296887770036049,"High","N"
"125",8,"Tube",3,2.984313725,0.719607843,3,0.285301249113788,"High","Y"
"126",8,"Tube",3,4.60915098,1.360131373,6,0.713505918211029,"High","Y"
"127",8,"Tube",4,4.584790769,0.804845787,7,0.810944197405401,"High","Y"
"128",8,"Tube",5,4.482084902,0.745154747,8,0.821695722190124,"High","N"
"129",8,"Tube",5,4.242994563,1.396208699,6,0.635100256880381,"High","Y"
"130",8,"Tube",6,3.084696663,0.692287036,3,0.263285050992099,"High","Y"
"131",8,"Tube",6,4.724322226,0.936684054,7,0.791125581778794,"High","Y"
"132",8,"Tube",7,4.507954346,0.717835944,8,0.824365780823047,"High","N"
"133",8,"Tube",8,4.486634458,0.704880397,8,0.828604886308804,"High","N"
"134",8,"Tube",9,4.669368303,1.144551771,7,0.746137699479662,"High","Y"
"135",8,"Tube",11,3.034498037,1.002753279,3,0.308707995865975,"High","Y"
"136",8,"Tube",11,4.12316489,1.403462277,6,0.609489436019064,"High","Y"
"137",8,"Tube",12,4.450608162,0.715794374,8,0.83093697028071,"High","N"
"138",8,"Tube",12,4.564183835,0.965398177,7,0.776019210261285,"High","Y"
"139",8,"Tube",13,4.502172163,0.692101227,8,0.830053053415663,"High","N"
"140",8,"Tube",13,3.008690567,0.777095475,3,0.28169691504928,"High","Y"
"141",9,"Tube",2,1.856187291,1.185432925,3,0.28132156452894,"High","Y"
"142",9,"Tube",2,5.532640282,1.483959495,7,0.849677674219592,"High","Y"
"143",9,"Tube",2,1.906973244,2.18753809,3,0.338615834436891,"High","Y"
"144",9,"Tube",2,5.493000743,2.250711631,7,0.770377882604298,"High","Y"
"145",9,"Tube",2,1.96023783,2.412982163,3,0.361088756582664,"High","Y"
"146",9,"Tube",2,2.465626161,2.699121145,4,0.425504881410704,"High","Y"
"147",9,"Tube",2,5.707296544,2.702837235,6,0.761737104680897,"High","Y"
"148",9,"Tube",3,3.283011272,1.326489533,2,0.141275779807098,"High","N"
"149",9,"Tube",3,2.748927134,1.343935185,2,0.19001744822234,"High","N"
"150",9,"Tube",3,5.630032206,1.540525362,7,0.845876140635487,"High","Y"
"151",9,"Tube",3,5.686392915,1.763285024,7,0.825474720625915,"High","Y"
"152",9,"Tube",3,2.043075684,2.423510467,3,0.361668603860037,"High","Y"
"153",9,"Tube",3,2.062198068,2.587560386,4,0.385703737141859,"High","Y"
"154",9,"Tube",3,5.524019726,2.650295894,6,0.742215045341343,"High","Y"
"155",9,"Tube",4,5.782781353,1.298012411,7,0.874872771771355,"High","Y"
"156",9,"Tube",4,3.044371782,1.386754783,2,0.163401631284593,"High","N"
"157",9,"Tube",4,5.692715802,1.529801122,7,0.848781603843109,"High","Y"
"158",9,"Tube",4,5.789403207,1.851655384,7,0.822113408608715,"High","Y"
"159",9,"Tube",4,2.053642774,2.101986477,3,0.327873376750179,"High","Y"
"160",9,"Tube",4,5.345695318,2.549006285,6,0.723140777087479,"High","Y"
"161",9,"Tube",4,2.17946991,2.832450618,4,0.414150283249284,"High","Y"
"162",9,"Tube",5,3.112589357,1.231135822,2,0.150039524006786,"High","N"
"163",9,"Tube",5,5.592400715,1.376092137,7,0.861897524124131,"High","Y"
"164",9,"Tube",5,2.388800635,1.393963463,2,0.227998469900824,"High","N"
"165",9,"Tube",5,5.302488086,2.570160842,6,0.718649178750625,"High","Y"
"166",9,"Tube",5,5.520915409,2.576781176,6,0.741613094431478,"High","Y"
"167",9,"Tube",5,3.393566322,2.670770453,5,0.519214017371796,"High","N"
"168",9,"Tube",6,4.596264707,1.345097685,8,0.938040000989673,"High","N"
"169",9,"Tube",6,2.216424364,1.526366592,2,0.249120338965706,"High","N"
"170",9,"Tube",6,5.666025222,1.668497895,7,0.834059028812173,"High","Y"
"171",9,"Tube",6,5.685252085,2.099697487,7,0.794377891615661,"High","Y"
"172",9,"Tube",6,1.895084028,2.197885498,3,0.33996164518924,"High","Y"
"173",9,"Tube",6,2.351002108,2.609860287,4,0.410715380433247,"High","Y"
"174",9,"Tube",6,5.051496849,2.626339279,6,0.692496213713066,"High","Y"
"175",9,"Tube",6,2.117550414,2.686761561,4,0.397515211485509,"High","Y"
"176",9,"Tube",7,2.69741307,1.221431337,2,0.193117032402873,"High","N"
"177",9,"Tube",7,2.391542029,1.33638958,2,0.226531377572207,"High","N"
"178",9,"Tube",7,2.134938807,1.348706535,2,0.253371428686973,"High","N"
"179",9,"Tube",7,5.641165233,1.673053008,7,0.832795675655122,"High","Y"
"180",9,"Tube",7,5.602161543,2.568085046,6,0.750126876335196,"High","Y"
"181",9,"Tube",7,4.314356191,2.599561024,5,0.614986184135733,"High","N"
"182",9,"Tube",7,3.822361595,2.664567858,5,0.563906723895987,"High","N"
"183",9,"Tube",7,2.018611329,2.737785995,4,0.394694774364964,"High","Y"
"184",9,"Tube",8,5.067345391,1.325591166,8,0.892670231903734,"High","N"
"185",9,"Tube",8,3.108851444,1.443100803,2,0.16206838605038,"High","N"
"186",9,"Tube",8,1.979796176,1.799752859,3,0.297234111431698,"High","Y"
"187",9,"Tube",8,1.805251073,1.805251073,3,0.307194419606802,"High","Y"
"188",9,"Tube",8,1.901456419,2.122733249,3,0.332142226215105,"High","Y"
"189",9,"Tube",8,2.700660074,2.612012454,4,0.44630999701679,"High","Y"
"190",9,"Tube",8,5.345657689,2.630566607,6,0.723397966467203,"High","Y"
"191",9,"Tube",12,2.674062739,1.245218057,2,0.195790516757772,"High","N"
"192",9,"Tube",12,5.193190513,1.254781943,8,0.888365200689905,"High","N"
"193",9,"Tube",12,3.167559296,1.273909717,2,0.146182447555765,"High","N"
"194",9,"Tube",12,1.915965953,2.060061209,3,0.325385729779352,"High","Y"
"195",9,"Tube",12,5.543228768,2.420939174,7,0.760131235416693,"High","Y"
"196",9,"Tube",12,4.013006886,2.581612471,5,0.58326462552563,"High","N"
"197",9,"Tube",12,2.232848125,2.635807192,4,0.401014498889136,"High","Y"
"198",9,"Tube",12,3.110175976,2.683626626,5,0.489996400797941,"High","N"
"199",9,"Tube",13,2.811532508,1.251934985,2,0.18154749698813,"High","N"
"200",9,"Tube",13,5.390866873,1.414473684,8,0.865593217153644,"High","N"
"201",9,"Tube",13,2.033668731,1.875,3,0.304087937024522,"High","Y"
"202",9,"Tube",13,5.728844814,1.879514319,7,0.816369066307855,"High","Y"
"203",9,"Tube",13,5.160603715,2.621904025,6,0.70393022407771,"High","Y"
"204",9,"Tube",13,4.180210913,2.751547988,5,0.602289572929395,"High","N"
"205",9,"Tube",14,2.941834452,1.446681581,2,0.175862370674388,"High","N"
"206",9,"Tube",14,5.117449664,1.49142431,8,0.881306419766473,"High","N"
"207",9,"Tube",14,5.508948546,2.007829978,7,0.795147297282352,"High","Y"
"208",9,"Tube",14,1.936987323,2.138329605,3,0.332899579949609,"High","Y"
"209",9,"Tube",14,5.605891126,2.470171514,7,0.764653837404588,"High","Y"
"210",9,"Tube",14,2.102908277,2.604399702,4,0.389105853606105,"High","Y"
"211",9,"Tube",14,4.925428784,2.695749441,6,0.679696006983364,"High","Y"
"212",9,"Tube",14,3.434004474,2.703827368,5,0.523914091096206,"High","N"
"213",10,"Tube",1,1.763125258,1.370400992,3,0.261841576878084,"High","Y"
"214",10,"Tube",1,6.097560976,1.880942538,7,0.838855441445289,"High","Y"
"215",10,"Tube",1,3.104588673,2.930274907,5,0.49424379346556,"High","N"
"216",10,"Tube",1,1.656676313,3.042579578,4,0.387765794133226,"High","Y"
"217",10,"Tube",1,4.966928483,3.217583712,6,0.664891456565421,"High","Y"
"218",10,"Tube",2,6.20278536,1.675626551,7,0.859743259991435,"High","Y"
"219",10,"Tube",2,6.059414806,2.057485525,7,0.822777899439995,"High","Y"
"220",10,"Tube",2,6.128343672,3.045905707,6,0.76893003300872,"High","Y"
"221",10,"Tube",2,3.748966088,3.134822167,5,0.554222840292697,"High","N"
"222",10,"Tube",2,1.786600496,3.163771712,4,0.398162263268463,"High","Y"
"223",10,"Tube",2,2.951474359,3.166528122,4,0.483583564875136,"High","Y"
"224",10,"Tube",3,5.839389734,2.207157226,7,0.803309329098384,"High","Y"
"225",10,"Tube",3,2.924936689,3.059827641,4,0.479230819702554,"High","Y"
"226",10,"Tube",3,3.755939509,3.068912766,5,0.554152395522134,"High","N"
"227",10,"Tube",3,5.522783684,3.152781919,6,0.7146033008029,"High","Y"
"228",10,"Tube",3,4.182973975,3.154878648,5,0.59353852180681,"High","N"
"229",10,"Tube",3,2.419625046,3.165362292,4,0.437884172632169,"High","Y"
"230",10,"Tube",4,4.8830132,1.559590672,8,0.926493138445385,"High","N"
"231",10,"Tube",4,5.71031467,1.721819839,7,0.845529109855657,"High","Y"
"232",10,"Tube",4,5.904213301,2.049508525,7,0.818641055513104,"High","Y"
"233",10,"Tube",4,4.08350516,3.106256062,5,0.584078222482778,"High","N"
"234",10,"Tube",4,2.652533266,3.122413635,4,0.456345771249007,"High","Y"
"235",10,"Tube",4,2.975698297,3.125000242,4,0.484864807346256,"High","Y"
"236",10,"Tube",5,4.92910889,1.57096342,8,0.922184995233521,"High","N"
"237",10,"Tube",5,5.852828584,2.226003828,7,0.80195657855834,"High","Y"
"238",10,"Tube",5,5.979017439,2.53509145,7,0.781744642886424,"High","Y"
"239",10,"Tube",5,2.471288813,3.139089749,4,0.441251369571825,"High","Y"
"240",10,"Tube",5,3.180916631,3.204310932,5,0.50462679866751,"High","N"
"241",10,"Tube",5,5.286403658,3.210691195,6,0.693675783527802,"High","Y"
"242",10,"Tube",6,2.37459785,1.654929577,2,0.211576900561243,"High","N"
"243",10,"Tube",6,6.001358414,2.720533729,7,0.772068495861108,"High","Y"
"244",10,"Tube",6,5.904990734,2.987398073,6,0.748484186002245,"High","Y"
"245",10,"Tube",6,3.868296887,3.228317272,5,0.56621812049885,"High","N"
"246",10,"Tube",7,5.603075038,1.400610524,8,0.88429904655849,"High","N"
"247",10,"Tube",7,5.950050083,1.789527607,7,0.842524279787928,"High","Y"
"248",10,"Tube",7,5.978646927,2.361464494,7,0.794825121636266,"High","Y"
"249",10,"Tube",7,3.409378697,3.047153909,5,0.522657773518669,"High","N"
"250",10,"Tube",7,4.928189511,3.061133953,6,0.660186052439996,"High","Y"
"251",10,"Tube",9,5.431365031,1.437883436,8,0.887800015071119,"High","N"
"252",10,"Tube",9,5.939417178,1.648773006,7,0.854747619527965,"High","Y"
"253",10,"Tube",9,5.954754601,2.022622699,7,0.822292458804028,"High","Y"
"254",10,"Tube",9,6.098542945,2.285276074,7,0.806440900128165,"High","Y"
"255",10,"Tube",9,6.067229678,3.083460506,6,0.763541074401116,"High","Y"
"256",10,"Tube",12,5.792948077,1.512821154,7,0.864954028613073,"High","Y"
"257",10,"Tube",12,6.201923077,1.790384615,7,0.850219490263184,"High","Y"
"258",10,"Tube",12,3.015384615,3.009615385,5,0.486734434194842,"High","N"
"259",10,"Tube",12,5.544230769,3.170513462,6,0.716668962383654,"High","Y"
"260",10,"Tube",12,3.930128846,3.196153846,5,0.57129237515753,"High","N"
"261",10,"Tube",13,5.815789474,1.528821429,7,0.863715174976234,"High","Y"
"262",10,"Tube",13,1.702381579,1.582706767,3,0.269275705021348,"High","Y"
"263",10,"Tube",13,4.94987406,3.010652256,6,0.661912112025648,"High","Y"
"264",10,"Tube",13,2.92543797,3.109022556,4,0.480100715609936,"High","Y"
"265",10,"Tube",13,5.785714286,3.127819549,6,0.73825569166106,"High","Y"
"266",5,"Tube",11,3.664705882,0.863166269,1,0.163642125467537,"High","Y"
"267",9,"Tube",3,3.707729469,1.129227053,1,0.121238748274934,"High","Y"
"268",9,"Tube",5,3.499469817,1.193407466,1,0.125613716924649,"High","Y"
"269",9,"Tube",13,3.471362229,1.290634675,1,0.136002948330077,"High","Y"
"270",10,"Tube",7,3.513598943,1.169929312,1,0.106331183069168,"High","Y"
"271",10,"Tube",9,3.697597776,1.057643788,1,0.0981897308113544,"High","Y"
"272",10,"Tube",12,3.328846154,1.428846154,1,0.132594942251376,"High","Y"
"273",10,"Tube",13,3.646616541,0.810150376,1,0.0738613887233078,"High","Y"
"274",1,"Circle",3,4.414382659,2.020013721,5,0.196485719498765,"High","N"
"275",1,"Circle",3,4.121571209,2.275758812,6,0.213829369303585,"High","N"
"276",1,"Circle",3,3.739804944,2.453668441,7,0.226438687824807,"High","N"
"277",1,"Circle",4,3.656275056,1.374348552,3,0.127126308013349,"High","N"
"278",1,"Circle",4,3.166297327,1.939493318,5,0.187255433974032,"High","N"
"279",1,"Circle",4,3.984782851,2.293986637,6,0.214278950691529,"High","N"
"280",1,"Circle",5,4.353705556,1.890738889,5,0.183442496137432,"High","N"
"281",1,"Circle",5,4.120372222,2.246294444,6,0.211119028322511,"High","N"
"282",1,"Circle",5,3.413888889,2.552777778,7,0.23885218403419,"High","N"
"283",1,"Circle",6,3.150297561,1.995686133,5,0.192647198277606,"High","N"
"284",1,"Circle",6,3.385868153,2.347379779,7,0.220299922284676,"High","N"
"285",1,"Circle",6,2.738887612,2.705707463,8,0.266687018405033,"High","N"
"286",1,"Circle",8,4.612231544,1.552947427,4,0.163943854852892,"High","N"
"287",1,"Circle",8,3.363159955,1.444815436,3,0.138523696660621,"High","N"
"288",1,"Circle",8,4.35496085,1.653618568,4,0.16264627664138,"High","N"
"289",1,"Circle",9,4.322095506,1.930713483,5,0.186189839209803,"High","N"
"290",1,"Circle",9,3.786516854,2.054308989,6,0.189611805125676,"High","N"
"291",1,"Circle",9,3.878275281,2.604870787,7,0.242584330231516,"High","N"
"292",1,"Circle",10,3.415363535,1.933260626,5,0.182048452143693,"High","N"
"293",1,"Circle",10,3.661448546,1.914614094,5,0.176878992730156,"High","N"
"294",1,"Circle",10,4.205816555,1.720732662,4,0.164766637410515,"High","N"
"295",1,"Circle",11,3.453436807,2.147078714,6,0.201234973231725,"High","N"
"296",1,"Circle",11,3.763858093,2.073170732,6,0.191326785588588,"High","N"
"297",1,"Circle",11,4.506651885,2.095343681,6,0.205747325740809,"High","N"
"298",1,"Circle",12,4.093794843,1.479820628,3,0.140867564215989,"High","N"
"299",1,"Circle",12,3.720106502,2.019803812,5,0.186417960017001,"High","N"
"300",1,"Circle",12,3.279147982,2.378548206,7,0.224574978381032,"High","N"
"301",1,"Circle",13,3.4765625,2.423733259,7,0.2264759441382,"High","N"
"302",1,"Circle",13,3.811383929,2.472098214,7,0.228207844179249,"High","N"
"303",1,"Circle",13,3.740697545,2.721356027,8,0.251141742923514,"High","N"
"304",2,"Circle",4,3.876931567,1.203090508,6,0.210907318311578,"High","N"
"305",2,"Circle",4,3.511771523,1.401766004,7,0.246355496503919,"High","N"
"306",2,"Circle",4,4.001103753,1.558129139,8,0.273309709721509,"High","N"
"307",2,"Circle",5,3.938622635,1.266981441,6,0.222458297667496,"High","N"
"308",2,"Circle",5,3.972585517,1.497452693,8,0.262433425125109,"High","N"
"309",2,"Circle",6,3.829891224,1.345256268,7,0.23163053362492,"High","N"
"310",2,"Circle",6,3.911012168,1.5886191,8,0.277340255469696,"High","N"
"311",2,"Circle",7,4.082658205,1.484547461,8,0.262814344318031,"High","N"
"312",2,"Circle",7,3.570027594,1.548320456,8,0.270590728361014,"High","N"
"313",2,"Circle",8,3.696769457,1.644029001,8,0.28272439451889,"High","N"
"314",2,"Circle",8,3.562164097,1.291606094,6,0.226665699691637,"High","N"
"315",2,"Circle",9,3.528329654,1.303040839,6,0.229174585877535,"High","N"
"316",2,"Circle",9,4.018887049,1.52133922,8,0.267393511011272,"High","N"
"317",2,"Circle",10,3.694933921,0.853524229,4,0.147009059735876,"High","N"
"318",2,"Circle",10,3.86625,1.404185022,7,0.245428232797557,"High","N"
"319",2,"Circle",11,3.490842491,1.595238095,8,0.2798028970678,"High","N"
"320",2,"Circle",11,3.992673993,1.529304029,8,0.268227138382027,"High","N"
"321",2,"Circle",12,3.953744493,0.991800661,4,0.175691822039586,"High","N"
"322",2,"Circle",12,3.733480176,1.465368943,7,0.251884162613864,"High","N"
"323",2,"Circle",13,3.542124542,1.183760073,6,0.20853623356024,"High","N"
"324",2,"Circle",13,3.732600733,1.486569597,8,0.255529635045488,"High","N"
"325",3,"Circle",4,3.672043011,2.308243728,6,0.194243884347426,"High","N"
"326",3,"Circle",5,3.803419414,2.415141026,7,0.203173400648564,"High","N"
"327",3,"Circle",6,3.745755095,2.541848617,7,0.213780669596979,"High","N"
"328",3,"Circle",7,3.1640625,1.899350649,5,0.167457568039191,"High","N"
"329",3,"Circle",8,4.355244253,2.077922078,6,0.182364010288092,"High","N"
"330",3,"Circle",9,4.295437822,2.024159308,5,0.176733724109705,"High","N"
"331",3,"Circle",10,3.809088085,1.926169591,5,0.162075330936497,"High","N"
"332",3,"Circle",11,3.657611968,2.016029736,5,0.169734696889254,"High","N"
"333",3,"Circle",12,3.959990962,1.917932032,5,0.163587579982718,"High","N"
"334",3,"Circle",13,3.707569597,2.100122711,6,0.176665373792127,"High","N"
"335",4,"Circle",4,3.554572271,1.744100295,7,0.18992310107179,"High","N"
"336",4,"Circle",4,3.47650514,1.769456681,7,0.193352334522364,"High","N"
"337",4,"Circle",5,3.340675477,1.712555066,6,0.189581363633216,"High","N"
"338",4,"Circle",5,4.016152717,1.953010279,7,0.21285783145193,"High","N"
"339",4,"Circle",6,3.516886931,1.565712188,6,0.171167089540944,"High","N"
"340",4,"Circle",6,3.646755162,1.810471976,7,0.196726594728731,"High","N"
"341",4,"Circle",7,4.05543399,1.796134209,7,0.19660057097147,"High","N"
"342",4,"Circle",7,4.236263736,1.862637363,7,0.207070999428645,"High","N"
